DB_DATETIME	GC_ACOUSTIC_SED_ID	SITE_NUMBER	TEMP_2MHZ	TEMP_1MHZ	TEMP_600KHZ	ALPHA_SUBSCRIPT_S_2MHZ	ALPHA_SUBSCRIPT_S_1MHZ	ALPHA_SUBSCRIPT_S_600KHZ	SILT_CLAY_CONC_VALUE	SILT_CLAY_CONC_ERROR	SILT_CLAY_CONC_INSTRUMENT	SAND_CONC_VALUE	SAND_CONC_ERROR	SAND_CONC_INSTRUMENT	SAND_D50_VALUE	SAND_D50_ERROR	SAND_D50_INSTRUMENT
2002-08-23T00:00:00	3955434	Colorado River near Grand Canyon AZ (09402500)	-999.0	13.4	-999.0	-999.00000	0.07070	-999.00000	0.613E+02	-0.999E+03	2	0.254E+02	-0.999E+03	2		-999.0000	-999
2002-08-23T00:15:00	3955436	Colorado River near Grand Canyon AZ (09402500)	-999.0	13.4	-999.0	-999.00000	0.09022	-999.00000	0.954E+02	-0.999E+03	2	0.252E+02	-0.999E+03	2		-999.0000	-999
2002-08-23T00:30:00	3955439	Colorado River near Grand Canyon AZ (09402500)	-999.0	13.4	-999.0	-999.00000	0.10967	-999.00000	0.129E+03	-0.999E+03	2	0.270E+02	-0.999E+03	2		-999.0000	-999
2002-08-23T00:45:00	3955444	Colorado River near Grand Canyon AZ (09402500)	-999.0	13.4	-999.0	-999.00000	0.10967	-999.00000	0.129E+03	-0.999E+03	2	0.270E+02	-0.999E+03	2		-999.0000	-999
2002-08-23T01:00:00	3955446	Colorado River near Grand Canyon AZ (09402500)	-999.0	13.4	-999.0	-999.00000	0.12909	-999.00000	0.163E+03	-0.999E+03	2	0.268E+02	-0.999E+03	2		-999.0000	-999
2002-08-23T01:15:00	3955449	Colorado River near Grand Canyon AZ (09402500)	-999.0	13.4	-999.0	-999.00000	0.10970	-999.00000	0.129E+03	-0.999E+03	2	0.232E+02	-0.999E+03	2		-999.0000	-999
2002-08-23T01:30:00	3955451	Colorado River near Grand Canyon AZ (09402500)	-999.0	13.4	-999.0	-999.00000	0.12916	-999.00000	0.163E+03	-0.999E+03	2	0.242E+02	-0.999E+03	2		-999.0000	-999
2002-08-23T01:45:00	3955455	Colorado River near Grand Canyon AZ (09402500)	-999.0	13.4	-999.0	-999.00000	0.14864	-999.00000	0.196E+03	-0.999E+03	2	0.259E+02	-0.999E+03	2		-999.0000	-999
2002-08-23T02:00:00	3955459	Colorado River near Grand Canyon AZ (09402500)	-999.0	13.4	-999.0	-999.00000	0.14864	-999.00000	0.196E+03	-0.999E+03	2	0.240E+02	-0.999E+03	2		-999.0000	-999
2002-08-23T02:15:00	3955461	Colorado River near Grand Canyon AZ (09402500)	-999.0	13.4	-999.0	-999.00000	0.14864	-999.00000	0.196E+03	-0.999E+03	2	0.240E+02	-0.999E+03	2		-999.0000	-999
